x,y,z,type
-3087.75,-2009.75,0,Tcell
-3457.75,-1991.25,0,Tcell
-3267.25,-1905.25,0,Tcell
-3294.75,-1887.25,0,Tcell
-3568.75,-1836.75,0,Tcell
-3502.75,-1810.75,0,Tcell
-3675.75,-1689.75,0,Tcell
-3656.25,-1678.75,0,Tcell
-3623.25,-1526.25,0,Tcell
2058.25,-2123.75,0,Tcell
1931.25,-2041.75,0,Tcell
1919.75,-1978.75,0,Tcell
2043.25,-1910.25,0,Tcell
2110.25,-1867.25,0,Tcell
2128.75,-1831.75,0,Tcell
2080.75,-1817.25,0,Tcell
2256.75,-1773.75,0,Tcell
2226.75,-1748.25,0,Tcell
1880.75,-1733.75,0,Tcell
2406.75,-1710.75,0,Tcell
2400.75,-1695.75,0,Tcell
1845.25,-1560.25,0,Tcell
1422.25,-2279.75,0,Tcell
1327.25,-2278.25,0,Tcell
1355.25,-2275.75,0,Tcell
1076.75,-2263.75,0,Tcell
1008.75,-2256.75,0,Tcell
1581.25,-2248.75,0,Tcell
1287.25,-2246.75,0,Tcell
970.75,-2232.75,0,Tcell
1022.75,-2236.25,0,Tcell
1159.25,-2224.75,0,Tcell
1446.25,-2219.75,0,Tcell
996.25,-2214.25,0,Tcell
979.75,-2210.25,0,Tcell
1302.25,-2207.75,0,Tcell
1079.75,-2208.25,0,Tcell
1120.25,-2215.75,0,Tcell
1205.25,-2196.25,0,Tcell
1164.25,-2197.75,0,Tcell
1343.75,-2198.25,0,Tcell
1509.25,-2186.25,0,Tcell
1494.25,-2181.25,0,Tcell
1269.75,-2173.25,0,Tcell
1094.25,-2175.25,0,Tcell
1026.25,-2172.25,0,Tcell
1251.75,-2162.25,0,Tcell
1374.25,-2161.25,0,Tcell
1113.25,-2161.25,0,Tcell
1428.75,-2153.75,0,Tcell
1148.25,-2147.25,0,Tcell
1128.25,-2143.75,0,Tcell
1457.75,-2144.75,0,Tcell
993.75,-2146.25,0,Tcell
1355.75,-2139.25,0,Tcell
1491.75,-2136.75,0,Tcell
1260.25,-2133.25,0,Tcell
1279.25,-2134.75,0,Tcell
1204.75,-2129.25,0,Tcell
1295.75,-2133.25,0,Tcell
1110.25,-2126.25,0,Tcell
966.25,-2123.75,0,Tcell
1325.25,-2115.75,0,Tcell
1451.75,-2124.75,0,Tcell
1289.25,-2121.75,0,Tcell
1187.25,-2117.75,0,Tcell
1226.25,-2118.75,0,Tcell
1366.75,-2114.25,0,Tcell
1348.75,-2119.75,0,Tcell
1520.25,-2111.25,0,Tcell
1208.25,-2110.75,0,Tcell
1653.25,-2109.25,0,Tcell
1258.75,-2101.25,0,Tcell
1118.75,-2095.25,0,Tcell
1316.25,-2087.75,0,Tcell
1265.75,-2088.75,0,Tcell
1355.75,-2086.25,0,Tcell
1333.75,-2083.75,0,Tcell
1453.25,-2082.25,0,Tcell
