x,y,z,type
2193.25,-2990,0,TU
2375.25,-2985,0,TU
2171.75,-2985,0,TU
2440.25,-2984.5,0,TU
2144.25,-2982,0,TU
2276.75,-2981.5,0,TU
2462.25,-2981.5,0,TU
2247.75,-2980.5,0,TU
2051.25,-2980,0,TU
2403.75,-2975,0,TU
2085.25,-2971,0,TU
2191.75,-2969,0,TU
2383.75,-2968.5,0,TU
2017.75,-2968.5,0,TU
2286.75,-2966.5,0,TU
2429.75,-2966,0,TU
2240.75,-2966,0,TU
2490.25,-2965.5,0,TU
2306.75,-2965,0,TU
2266.25,-2964.5,0,TU
2163.75,-2964.5,0,TU
1957.75,-2963,0,TU
2328.25,-2961.5,0,TU
2103.75,-2960.5,0,TU
2123.75,-2959.5,0,TU
2393.75,-2955.5,0,TU
2144.25,-2955,0,TU
2053.25,-2954.5,0,TU
2235.75,-2953,0,TU
2177.25,-2953,0,TU
2264.25,-2950,0,TU
1983.75,-2950,0,TU
2221.25,-2950,0,TU
2363.75,-2950,0,TU
2279.25,-2946,0,TU
2033.75,-2946,0,TU
2306.25,-2944,0,TU
2252.25,-2943.5,0,TU
2013.25,-2942.5,0,TU
2405.75,-2941.5,0,TU
1933.75,-2940,0,TU
2378.75,-2940,0,TU
2116.75,-2939,0,TU
1976.75,-2938.5,0,TU
2155.75,-2937.5,0,TU
2430.25,-2937,0,TU
2265.25,-2933,0,TU
2238.75,-2932,0,TU
1956.75,-2932,0,TU
2278.75,-2930.5,0,TU
2431.25,-2925,0,TU
2209.75,-2924,0,TU
2287.25,-2922.5,0,TU
2311.75,-2920.5,0,TU
2228.25,-2919,0,TU
2270.25,-2916.5,0,TU
2381.75,-2910,0,TU
2161.25,-2908,0,TU
2142.25,-2908,0,TU
2487.25,-2907.5,0,TU
2458.25,-2907.5,0,TU
2427.25,-2904.5,0,TU
2122.25,-2904,0,TU
2100.75,-2904,0,TU
1911.75,-2903,0,TU
2212.25,-2902,0,TU
2285.25,-2901,0,TU
1871.25,-2898.5,0,TU
2262.75,-2897,0,TU
2236.25,-2895,0,TU
2220.25,-2891.5,0,TU
2397.25,-2891,0,TU
2316.75,-2890,0,TU
2449.75,-2889,0,TU
2111.75,-2886,0,TU
2431.25,-2884,0,TU
2267.25,-2882,0,TU
2458.25,-2878,0,TU
2237.25,-2875.5,0,TU
2166.25,-2874.5,0,TU
2209.25,-2873.5,0,TU
2118.25,-2873,0,TU
2182.25,-2872.5,0,TU
2297.25,-2872.5,0,TU
1891.75,-2870,0,TU
2410.75,-2865.5,0,TU
2394.75,-2864,0,TU
1985.25,-2863,0,TU
2266.75,-2860,0,TU
2366.75,-2860,0,TU
2058.25,-2860,0,TU
2382.25,-2858.5,0,TU
2465.75,-2856,0,TU
1849.75,-2855,0,TU
2327.25,-2854.5,0,TU
1918.75,-2854,0,TU
2221.25,-2852,0,TU
2432.25,-2851.5,0,TU
2286.25,-2849.5,0,TU
2043.25,-2849.5,0,TU
1873.25,-2846,0,TU
1833.75,-2845.5,0,TU
2119.75,-2841.5,0,TU
2351.25,-2840.5,0,TU
2253.75,-2840,0,TU
2414.75,-2838.5,0,TU
2467.25,-2835.5,0,TU
2384.75,-2832.5,0,TU
2143.25,-2832.5,0,TU
2240.25,-2830.5,0,TU
1988.75,-2829,0,TU
2448.25,-2828,0,TU
2220.75,-2828,0,TU
2168.75,-2828,0,TU
2310.75,-2827.5,0,TU
1820.25,-2823.5,0,TU
1857.25,-2823,0,TU
1910.75,-2823,0,TU
2410.25,-2822,0,TU
2277.25,-2821,0,TU
1840.25,-2820.5,0,TU
2201.75,-2819.5,0,TU
1931.75,-2819.5,0,TU
1881.25,-2817.5,0,TU
2048.25,-2817.5,0,TU
2147.75,-2809,0,TU
2241.75,-2807,0,TU
2269.75,-2802.5,0,TU
1975.25,-2802,0,TU
2454.75,-2801.5,0,TU
1878.75,-2799.5,0,TU
2216.75,-2797.5,0,TU
2485.25,-2797.5,0,TU
2402.25,-2794.5,0,TU
2328.75,-2793.5,0,TU
2047.25,-2792,0,TU
2152.25,-2789,0,TU
2005.25,-2788,0,TU
2262.75,-2787.5,0,TU
2383.75,-2787,0,TU
1930.25,-2786,0,TU
2123.25,-2784,0,TU
2419.75,-2783,0,TU
1869.75,-2781.5,0,TU
2224.75,-2778,0,TU
2038.75,-2777,0,TU
1946.75,-2772.5,0,TU
1978.25,-2771,0,TU
2334.25,-2770,0,TU
2144.75,-2769.5,0,TU
2053.75,-2767,0,TU
2012.75,-2765.5,0,TU
2289.25,-2765,0,TU
2067.25,-2763,0,TU
2112.25,-2762.5,0,TU
2001.25,-2761,0,TU
2382.75,-2760,0,TU
2508.25,-2760,0,TU
2404.25,-2760,0,TU
2036.25,-2754,0,TU
2230.25,-2753,0,TU
2419.25,-2752.5,0,TU
1973.75,-2751.5,0,TU
1995.75,-2750,0,TU
2273.75,-2748.5,0,TU
2095.25,-2748.5,0,TU
2335.25,-2746.5,0,TU
2437.25,-2745,0,TU
2387.25,-2744,0,TU
2017.25,-2743,0,TU
2533.75,-2742,0,TU
2176.25,-2741,0,TU
2047.75,-2740,0,TU
2357.75,-2739,0,TU
1940.75,-2738.5,0,TU
2415.75,-2737,0,TU
1981.75,-2733,0,TU
2449.75,-2733,0,TU
2012.25,-2733,0,TU
2220.25,-2732.5,0,TU
2252.25,-2730.5,0,TU
1950.25,-2728.5,0,TU
1994.25,-2723,0,TU
2272.25,-2721.5,0,TU
2374.25,-2720,0,TU
2433.75,-2717.5,0,TU
2417.75,-2716.5,0,TU
2036.75,-2715.5,0,TU
2212.25,-2714.5,0,TU
2319.75,-2714,0,TU
2303.75,-2714,0,TU
2007.75,-2713,0,TU
2128.75,-2712.5,0,TU
2162.25,-2710,0,TU
2550.25,-2705,0,TU
2195.75,-2703,0,TU
1982.25,-2701.5,0,TU
2254.25,-2701,0,TU
2337.75,-2699.5,0,TU
2034.75,-2699,0,TU
2274.25,-2697.5,0,TU
2014.25,-2695,0,TU
2459.75,-2695,0,TU
1882.25,-2694.5,0,TU
2296.25,-2692.5,0,TU
2441.25,-2691,0,TU
2248.75,-2682,0,TU
2627.25,-2680.5,0,TU
2348.25,-2680,0,TU
2321.25,-2679.5,0,TU
2036.25,-2675.5,0,TU
2278.75,-2674,0,TU
1987.75,-2673.5,0,TU
2100.75,-2670,0,TU
2237.25,-2670,0,TU
2621.25,-2668,0,TU
2011.75,-2668,0,TU
2495.75,-2668,0,TU
2563.25,-2668,0,TU
2050.75,-2667.5,0,TU
2182.75,-2666,0,TU
2207.75,-2661.5,0,TU
2269.75,-2659,0,TU
2329.75,-2653,0,TU
2431.25,-2653,0,TU
2310.75,-2652.5,0,TU
1935.25,-2649,0,TU
2195.25,-2649,0,TU
2244.25,-2646.5,0,TU
2105.25,-2646.5,0,TU
2626.75,-2645,0,TU
2085.75,-2644,0,TU
2036.25,-2635.5,0,TU
2127.25,-2635.5,0,TU
2167.25,-2635.5,0,TU
2188.75,-2634,0,TU
2419.75,-2634,0,TU
2640.75,-2633.5,0,TU
2512.25,-2633,0,TU
2111.75,-2632.5,0,TU
2400.75,-2631,0,TU
2291.75,-2630.5,0,TU
2091.25,-2629.5,0,TU
2461.25,-2628,0,TU
2315.25,-2627.5,0,TU
2153.25,-2626.5,0,TU
2340.25,-2626,0,TU
2183.75,-2624.5,0,TU
2215.25,-2624,0,TU
2127.25,-2619,0,TU
1556.25,-2618,0,TU
2240.25,-2617.5,0,TU
2042.25,-2616,0,TU
2427.25,-2615.5,0,TU
2270.25,-2615,0,TU
2202.75,-2613.5,0,TU
2112.25,-2613.5,0,TU
2448.75,-2612.5,0,TU
1863.75,-2612.5,0,TU
2396.25,-2610.5,0,TU
2181.25,-2610,0,TU
1528.75,-2610,0,TU
2054.75,-2608.5,0,TU
2644.25,-2608,0,TU
2150.25,-2606.5,0,TU
1969.75,-2606.5,0,TU
2630.75,-2597.5,0,TU
2125.75,-2596,0,TU
2429.75,-2595.5,0,TU
1987.25,-2595.5,0,TU
2251.75,-2594.5,0,TU
1516.25,-2594,0,TU
2529.75,-2594,0,TU
2089.25,-2592.5,0,TU
2407.75,-2591,0,TU
2027.25,-2590.5,0,TU
2458.25,-2590,0,TU
2382.25,-2589.5,0,TU
2053.25,-2589,0,TU
2179.25,-2588.5,0,TU
1911.75,-2588,0,TU
