x,y,z,type
4037.5,-3641,0,Tcell
4019.5,-3634,0,Tcell
3001.5,-4229.5,0,Tcell
3027,-4082,0,Tcell
3130,-4230.5,0,Tcell
3262,-4171.5,0,Tcell
3290.5,-4147.5,0,Tcell
3174.5,-4121.5,0,Tcell
3203,-4116.5,0,Tcell
3634,-4115,0,Tcell
3407,-4108.5,0,Tcell
3142.5,-4096,0,Tcell
3691,-4094,0,Tcell
3306,-4059.5,0,Tcell
3653.5,-4015.5,0,Tcell
3696,-3993,0,Tcell
3313.5,-3969,0,Tcell
3262.5,-3919.5,0,Tcell
3515,-3899.5,0,Tcell
3313.5,-3836.5,0,Tcell
3633,-3827.5,0,Tcell
3730,-3804.5,0,Tcell
3754,-3777.5,0,Tcell
3468,-3712,0,Tcell
3647,-3598,0,Tcell
-1994.5,-3569.5,0,Tcell
-2523.5,-3568.5,0,Tcell
-2321,-3498.5,0,Tcell
-2097.5,-3478,0,Tcell
-1761,-3435.5,0,Tcell
-1768,-3426,0,Tcell
-2109,-3424,0,Tcell
-1767,-3366.5,0,Tcell
-1879.5,-3333,0,Tcell
-2378,-3307,0,Tcell
-2040,-3300.5,0,Tcell
-2118,-3291.5,0,Tcell
-2360,-3293,0,Tcell
-2085.5,-3290.5,0,Tcell
-2065.5,-3278,0,Tcell
-2017.5,-3276.5,0,Tcell
-2057,-3248,0,Tcell
-2094.5,-3225.5,0,Tcell
-2146.5,-3216.5,0,Tcell
-2043,-3183,0,Tcell
-3869.5,-3451.5,0,Tcell
-3838,-3416.5,0,Tcell
-4095,-3416.5,0,Tcell
-4111.5,-3410.5,0,Tcell
-3906,-3378,0,Tcell
-4148.5,-3375,0,Tcell
-4155,-3355,0,Tcell
-3453.5,-3323,0,Tcell
-3923,-3306.5,0,Tcell
-3393.5,-3291.5,0,Tcell
-4150,-3286,0,Tcell
-3489.5,-3257,0,Tcell
-3411,-3245.5,0,Tcell
-3363,-3241.5,0,Tcell
-3377.5,-3211,0,Tcell
-4053.5,-3175,0,Tcell
-3396.5,-3171,0,Tcell
-3409,-3153,0,Tcell
