x,y,z,type
3371.75,-4153.25,0,TU
2667.25,-4152.75,0,TU
2552.75,-4151.75,0,TU
3541.75,-4151.75,0,TU
2918.75,-4151.25,0,TU
3346.75,-4150.75,0,TU
2874.25,-4150.25,0,TU
2939.25,-4148.75,0,TU
3195.75,-4148.75,0,TU
2962.75,-4148.75,0,TU
3513.25,-4146.75,0,TU
3241.75,-4142.25,0,TU
3387.75,-4137.25,0,TU
2676.75,-4137.25,0,TU
3492.75,-4135.75,0,TU
2727.25,-4135.75,0,TU
2556.75,-4135.25,0,TU
2785.75,-4134.75,0,TU
2700.75,-4134.75,0,TU
2636.75,-4131.75,0,TU
2852.75,-4130.75,0,TU
3355.25,-4128.75,0,TU
2527.25,-4127.75,0,TU
2889.25,-4125.75,0,TU
2974.75,-4125.75,0,TU
3039.25,-4124.75,0,TU
3019.25,-4124.25,0,TU
3177.75,-4123.75,0,TU
3058.75,-4123.25,0,TU
3085.25,-4123.25,0,TU
3229.25,-4122.75,0,TU
2686.75,-4121.75,0,TU
3347.25,-4121.25,0,TU
2921.75,-4120.75,0,TU
3156.75,-4118.25,0,TU
3375.25,-4117.75,0,TU
2414.75,-4117.25,0,TU
2867.25,-4116.75,0,TU
3074.25,-4116.25,0,TU
2907.75,-4116.25,0,TU
3473.75,-4115.75,0,TU
3397.75,-4115.75,0,TU
2944.25,-4114.25,0,TU
2767.25,-4113.25,0,TU
2991.25,-4112.25,0,TU
2589.75,-4110.75,0,TU
2413.25,-4109.25,0,TU
3094.75,-4109.25,0,TU
2655.75,-4107.75,0,TU
3299.75,-4107.25,0,TU
2632.25,-4105.75,0,TU
2566.75,-4105.75,0,TU
2444.75,-4105.25,0,TU
2399.25,-4104.25,0,TU
3355.75,-4103.25,0,TU
3055.25,-4102.75,0,TU
2608.75,-4102.25,0,TU
2936.25,-4102.25,0,TU
3129.75,-4100.25,0,TU
3320.25,-4098.75,0,TU
3025.75,-4098.25,0,TU
3290.25,-4095.75,0,TU
2919.75,-4095.75,0,TU
2752.75,-4095.75,0,TU
2579.75,-4095.75,0,TU
