x,y,z,type
-15466.5,2229.5,0,Teff
-15218.5,2235.5,0,Teff
-15249.5,2276.5,0,Teff
-15231.5,2279.5,0,Teff
-15033,2278,0,Teff
-15080,2280,0,Teff
-15027,2291,0,Teff
-15344.5,2297.5,0,Teff
-15211,2297,0,Teff
-15073.5,2294.5,0,Teff
-15162.5,2302.5,0,Teff
-15178,2313,0,Teff
-15153,2333,0,Teff
-15744.5,2336,0,Teff
-15095.5,2342,0,Teff
-15170.5,2340,0,Teff
-15588,2347.5,0,Teff
-15753,2347.5,0,Teff
-15168.5,2391,0,Teff
-15519.5,2391,0,Teff
-15002.5,2468.5,0,Teff
-15715,2483.5,0,Teff
-16267.5,1715.5,0,Teff
-16009.5,1727,0,Teff
-16333,1739.5,0,Teff
-16006,1740.5,0,Teff
-15956.5,1791.5,0,Teff
-16266,1809.5,0,Teff
-15855,2086,0,Teff
-16126.5,2091.5,0,Teff
-16138,2103,0,Teff
-16101.5,2141,0,Teff
-15971,2193.5,0,Teff
-15988,2196,0,Teff
-15884,2281,0,Teff
-15811,2314,0,Teff
-16168,2376.5,0,Teff
-16179.5,2407,0,Teff
-16037,2406.5,0,Teff
-15949.5,2417,0,Teff
-16064.5,2450,0,Teff
-16129,2471.5,0,Teff
-16068,2479.5,0,Teff
-16015,2506.5,0,Teff
-14109,1733,0,Teff
-14188.5,1762,0,Teff
-13819.5,1764,0,Teff
-14171,1772,0,Teff
-14062,1786.5,0,Teff
-14132.5,1795,0,Teff
-14102,1791.5,0,Teff
-13953,1801,0,Teff
-13872.5,1812,0,Teff
-14186.5,1819,0,Teff
-14164.5,1833,0,Teff
-14069.5,1827,0,Teff
-13985.5,1833.5,0,Teff
-14115.5,1845,0,Teff
-14050.5,1847.5,0,Teff
-13982.5,1847.5,0,Teff
-14034.5,1857,0,Teff
-14169,1868.5,0,Teff
-14116,1872.5,0,Teff
-13889.5,1868.5,0,Teff
-14194,1870.5,0,Teff
-14092,1879,0,Teff
-14165,1883.5,0,Teff
-14072.5,1886.5,0,Teff
-14186,1893.5,0,Teff
-14127,1897,0,Teff
-13847.5,1920,0,Teff
-13874,1931,0,Teff
-14186,1939.5,0,Teff
-14046.5,1942,0,Teff
-14077,1944,0,Teff
-14172.5,1943.5,0,Teff
-14134.5,1948,0,Teff
-14063,1951,0,Teff
-14005,1956.5,0,Teff
-14098,1951,0,Teff
-14155,1956,0,Teff
-14111.5,1961.5,0,Teff
-13969,1962.5,0,Teff
-14132.5,1967,0,Teff
-14151,1974.5,0,Teff
-13840,1984,0,Teff
-14127,1983.5,0,Teff
-14097,2002.5,0,Teff
-14076.5,2004.5,0,Teff
-14010,2004.5,0,Teff
-14021.5,2012.5,0,Teff
-13861,2031.5,0,Teff
-14048.5,2032,0,Teff
-14019.5,2029,0,Teff
-14118.5,2034,0,Teff
-13746.5,2042,0,Teff
-13891,2047.5,0,Teff
-14087.5,2050,0,Teff
-13675,2054.5,0,Teff
-13996.5,2070.5,0,Teff
-13932,2068.5,0,Teff
-14014.5,2076.5,0,Teff
-13923,2078.5,0,Teff
-13992,2084.5,0,Teff
-13950,2088.5,0,Teff
-13709.5,2092.5,0,Teff
-13751,2102,0,Teff
-13559.5,2119,0,Teff
